Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.4.2026,13:49:19.562,49.0,51.0,27.000,27.715,1756.0,1730.0,2626,4740,
19.4.2026,13:49:19.764,49.0,51.0,27.000,27.913,1740.0,1730.0,2626,4740,
19.4.2026,13:49:19.980,49.0,51.0,27.000,27.928,1758.0,1730.0,2626,4740,
19.4.2026,13:49:20.181,49.0,51.0,28.000,27.976,1758.0,1730.0,2626,4740,
19.4.2026,13:49:20.383,49.0,51.0,28.000,28.171,1757.0,1730.0,2626,4740,
19.4.2026,13:49:20.586,49.0,51.0,27.000,28.076,1757.0,1730.0,2626,4740,
19.4.2026,13:49:20.786,50.0,51.0,27.000,27.881,1755.0,1728.0,2626,4740,
19.4.2026,13:49:20.988,49.0,51.0,27.000,27.988,1757.0,1730.0,2626,4740,
19.4.2026,13:49:21.214,49.0,51.0,28.000,28.039,1756.0,1730.0,2626,4740,
19.4.2026,13:49:21.391,50.0,51.0,27.000,28.020,1742.0,1730.0,2626,4740,
19.4.2026,13:49:21.604,49.0,51.0,28.000,28.016,1756.0,1728.0,2626,4740,
19.4.2026,13:49:21.794,49.0,51.0,28.000,28.065,1752.0,1730.0,2626,4740,
19.4.2026,13:49:22.008,49.0,51.0,28.000,28.009,1757.0,1730.0,2626,4740,
19.4.2026,13:49:22.214,49.0,51.0,28.000,28.105,1756.0,1730.0,2626,4740,
19.4.2026,13:49:22.412,49.0,51.0,28.000,28.226,1756.0,1730.0,2626,4740,
19.4.2026,13:49:22.615,50.0,51.0,27.000,28.455,1722.0,1728.0,2626,4740,
19.4.2026,13:49:22.820,49.0,51.0,28.000,28.341,1757.0,1730.0,2626,4740,
19.4.2026,13:49:23.022,49.0,51.0,27.000,27.857,1739.0,1730.0,2626,4740,
19.4.2026,13:49:23.229,49.0,51.0,28.000,27.843,1757.0,1730.0,2626,4740,
19.4.2026,13:49:23.432,49.0,51.0,28.000,28.031,1753.0,1730.0,2626,4740,
19.4.2026,13:49:23.622,49.0,50.0,27.000,27.866,1757.0,1730.0,2626,4740,
19.4.2026,13:49:23.838,50.0,51.0,27.000,27.905,1756.0,1730.0,2626,4740,
19.4.2026,13:49:24.040,50.0,51.0,27.000,27.942,1757.0,1730.0,2626,4740,
19.4.2026,13:49:24.242,49.0,51.0,27.000,27.822,1755.0,1730.0,2626,4740,
19.4.2026,13:49:24.441,50.0,51.0,28.000,28.157,1756.0,1730.0,2626,4740,
19.4.2026,13:49:24.643,49.0,51.0,28.000,28.282,1757.0,1728.0,2626,4740,
19.4.2026,13:49:24.848,49.0,51.0,27.000,28.196,1758.0,1730.0,2626,4740,
19.4.2026,13:49:25.048,50.0,51.0,27.000,27.901,1753.0,1730.0,2626,4740,
19.4.2026,13:49:25.254,49.0,51.0,28.000,27.981,1757.0,1730.0,2626,4740,
19.4.2026,13:49:25.456,49.0,51.0,28.000,28.183,1755.0,1730.0,2626,4740,
19.4.2026,13:49:25.655,50.0,51.0,27.000,28.096,1757.0,1730.0,2626,4740,
19.4.2026,13:49:25.870,49.0,51.0,28.000,28.001,1757.0,1730.0,2626,4740,
19.4.2026,13:49:26.074,49.0,51.0,27.000,27.935,1755.0,1730.0,2626,4740,
19.4.2026,13:49:26.278,49.0,51.0,27.000,27.927,1757.0,1728.0,2626,4740,
19.4.2026,13:49:26.477,50.0,51.0,28.000,28.203,1756.0,1730.0,2626,4740,
19.4.2026,13:49:26.677,50.0,51.0,28.000,28.339,1757.0,1728.0,2626,4740,
19.4.2026,13:49:26.880,49.0,51.0,28.000,28.364,1749.0,1730.0,2626,4740,
19.4.2026,13:49:27.079,49.0,51.0,28.000,28.159,1757.0,1728.0,2626,4740,
19.4.2026,13:49:27.282,49.0,51.0,28.000,28.219,1754.0,1730.0,2626,4740,
19.4.2026,13:49:27.483,49.0,51.0,28.000,28.266,1756.0,1730.0,2626,4740,
19.4.2026,13:49:27.685,49.0,51.0,28.000,28.316,1755.0,1730.0,2626,4740,
19.4.2026,13:49:27.888,49.0,51.0,28.000,28.186,1734.0,1728.0,2626,4740,
19.4.2026,13:49:28.105,50.0,51.0,28.000,28.303,1757.0,1728.0,2626,4740,
19.4.2026,13:49:28.305,49.0,51.0,28.000,28.075,1750.0,1730.0,2626,4740,
19.4.2026,13:49:28.510,50.0,51.0,28.000,28.153,1756.0,1730.0,2626,4740,
19.4.2026,13:49:28.710,50.0,51.0,28.000,28.520,1756.0,1728.0,2626,4740,
19.4.2026,13:49:28.916,49.0,51.0,28.000,28.445,1756.0,1730.0,2626,4740,
19.4.2026,13:49:29.116,50.0,51.0,28.000,28.127,1756.0,1730.0,2626,4740,
19.4.2026,13:49:29.317,49.0,51.0,28.000,28.209,1755.0,1730.0,2626,4740,
19.4.2026,13:49:29.519,49.0,51.0,28.000,28.240,1751.0,1730.0,2626,4740,
19.4.2026,13:49:29.719,49.0,51.0,28.000,28.260,1757.0,1730.0,2626,4740,
19.4.2026,13:49:29.923,50.0,51.0,28.000,28.126,1755.0,1730.0,2626,4740,
19.4.2026,13:49:30.124,49.0,51.0,28.000,28.120,1757.0,1728.0,2626,4740,
19.4.2026,13:49:30.326,50.0,51.0,28.000,28.276,1757.0,1728.0,2626,4740,
19.4.2026,13:49:30.528,50.0,51.0,28.000,28.221,1745.0,1728.0,2626,4740,
19.4.2026,13:49:30.745,50.0,51.0,28.000,28.490,1756.0,1730.0,2626,4740,
19.4.2026,13:49:30.948,50.0,51.0,28.000,28.397,1756.0,1730.0,2626,4740,
19.4.2026,13:49:31.150,50.0,51.0,28.000,28.169,1755.0,1730.0,2626,4740,
19.4.2026,13:49:31.350,50.0,51.0,28.000,28.232,1757.0,1730.0,2626,4740,
19.4.2026,13:49:31.551,50.0,51.0,28.000,28.076,1755.0,1728.0,2626,4740,
19.4.2026,13:49:31.753,50.0,51.0,28.000,27.991,1757.0,1730.0,2626,4740,
19.4.2026,13:49:31.952,50.0,52.0,28.000,28.101,1756.0,1730.0,2626,4740,
19.4.2026,13:49:32.152,50.0,51.0,27.000,27.891,1735.0,1730.0,2626,4740,
19.4.2026,13:49:32.369,50.0,51.0,28.000,28.094,1756.0,1728.0,2626,4740,
19.4.2026,13:49:32.572,50.0,51.0,28.000,28.356,1748.0,1728.0,2626,4740,
19.4.2026,13:49:32.773,49.0,51.0,28.000,28.453,1756.0,1730.0,2626,4740,
19.4.2026,13:49:32.973,50.0,51.0,28.000,28.346,1757.0,1730.0,2626,4740,
19.4.2026,13:49:33.177,49.0,51.0,28.000,28.289,1751.0,1730.0,2626,4740,
19.4.2026,13:49:33.377,50.0,51.0,28.000,28.097,1757.0,1730.0,2626,4740,
19.4.2026,13:49:33.581,49.0,51.0,28.000,28.181,1756.0,1730.0,2626,4740,
19.4.2026,13:49:33.778,49.0,51.0,27.000,28.080,1757.0,1730.0,2626,4740,
